"","Date","gdp","m2","gov","Y","M","G","Y.lag","M.lag","G.lag","y.growth","m.growth","g.growth","dmg","dgg","dmg1","dgg1","dmg2","dgg2","dmg3","dgg3","mg4","gg4"
"141",1995-01-01,10550.251,2320.5,2413.98,9.26390493009039,7.74953795868123,7.78903211661901,9.26036425099686,7.75456730708623,7.78554008218371,0.00354067909353084,-0.00502934840500213,0.00349203443530666,0.0027866949729507,0.0122308871788883,-0.0016660929161052,-0.0254551835957741,-0.00184632793833117,0.01177927726585,-0.00476684869144339,0.017386721567803,0.000463226167926933,-0.0124496679814605
"142",1995-04-01,10581.723,2305.1,2422.091,9.26688354659529,7.74287933843763,7.79238649566155,9.26390493009039,7.74953795868123,7.78903211661901,0.00297861650489573,-0.00665862024359853,0.00335437904253943,-0.0016292718385964,-0.000137655392767222,0.0027866949729507,0.0122308871788883,-0.0016660929161052,-0.0254551835957741,-0.00184632793833117,0.01177927726585,-0.00430362252351646,0.00493705358634244
"143",1995-07-01,10671.738,2337.7,2415.736,9.27535421762916,7.75692281899999,7.78975928156096,9.26688354659529,7.74287933843763,7.79238649566155,0.00847067103386578,0.0140434805623597,-0.00262721410059452,0.0207021008059582,-0.00598159314313396,-0.0016292718385964,-0.000137655392767222,0.0027866949729507,0.0122308871788883,-0.0016660929161052,-0.0254551835957741,-0.00614995046184763,0.0167163308521925
"144",1995-10-01,10744.203,2354,2390.46,9.28212163229115,7.76387128782022,7.7792410950251,9.27535421762916,7.75692281899999,7.78975928156096,0.00676741466199005,0.00694846882023015,-0.0105181865358634,-0.00709501174212956,-0.00789097243526893,0.0207021008059582,-0.00598159314313396,-0.0016292718385964,-0.000137655392767222,0.0027866949729507,0.0122308871788883,-0.00781604337795283,-0.00873885274358166
"145",1996-01-01,10824.674,2358,2406.228,9.28958343694377,7.76556908109732,7.78581565513716,9.28212163229115,7.76387128782022,7.7792410950251,0.00746180465262469,0.00169779327709474,0.00657456011206037,-0.00525067554313541,0.0170927466479238,-0.00709501174212956,-0.00789097243526893,0.0207021008059582,-0.00598159314313396,-0.0016292718385964,-0.000137655392767222,-0.00502934840500213,0.00349203443530666
"146",1996-04-01,11005.217,2368.8,2436.198,9.30612471207602,7.77013877678738,7.79819390631486,9.28958343694377,7.76556908109732,7.78581565513716,0.0165412751322478,0.00456969569006471,0.0123782511777053,0.00287190241296997,0.00580369106564493,-0.00525067554313541,0.0170927466479238,-0.00709501174212956,-0.00789097243526893,0.0207021008059582,-0.00598159314313396,-0.00665862024359853,0.00335437904253943
"147",1996-07-01,11103.935,2380.3,2436.182,9.31505482898305,7.774981809142,7.79818733868261,9.30612471207602,7.77013877678738,7.79819390631486,0.00893011690703638,0.00484303235462047,-6.56763224604617e-06,0.000273336664555757,-0.0123848188099513,0.00287190241296997,0.00580369106564493,-0.00525067554313541,0.0170927466479238,-0.00709501174212956,-0.00789097243526893,0.0140434805623597,-0.00262721410059452
"148",1996-10-01,11219.238,2384.8,2452.994,9.32538526233189,7.77687054236386,7.80506459827099,9.31505482898305,7.774981809142,7.79818733868261,0.0103304333488392,0.00188873322186023,0.00687725958837415,-0.00295429913276024,0.0068838272206202,0.000273336664555757,-0.0123848188099513,0.00287190241296997,0.00580369106564493,-0.00525067554313541,0.0170927466479238,0.00694846882023015,-0.0105181865358634
"149",1997-01-01,11291.665,2405.6,2440.245,9.33182012191241,7.78555463167432,7.79985372308258,9.32538526233189,7.77687054236386,7.80506459827099,0.00643485958051215,0.00868408931045739,-0.00521087518840613,0.00679535608859716,-0.0120881347767803,-0.00295429913276024,0.0068838272206202,0.000273336664555757,-0.0123848188099513,0.00287190241296997,0.00580369106564493,0.00169779327709474,0.00657456011206037
"150",1997-04-01,11479.33,2424.6,2471.867,9.34830330580107,7.79342184131248,7.81272901454117,9.33182012191241,7.78555463167432,7.79985372308258,0.0164831838886634,0.00786720963816379,0.0128752914585908,-0.000816879672293602,0.0180861666469969,0.00679535608859716,-0.0120881347767803,-0.00295429913276024,0.0068838272206202,0.000273336664555757,-0.0123848188099513,0.00456969569006471,0.0123782511777053
"151",1997-07-01,11622.911,2446.3,2483.31,9.36073351538304,7.80233195794954,7.8173476266882,9.34830330580107,7.79342184131248,7.81272901454117,0.0124302095819697,0.00891011663705488,0.0046186121470253,0.00104290699889109,-0.00825667931156548,-0.000816879672293602,0.0180861666469969,0.00679535608859716,-0.0120881347767803,-0.00295429913276024,0.0068838272206202,0.00484303235462047,-6.56763224604617e-06
"152",1997-10-01,11722.722,2472,2495.772,9.36928428872428,7.81278281857758,7.82235337916316,9.36073351538304,7.80233195794954,7.8173476266882,0.00855077334124132,0.0104508606280431,0.00500575247495938,0.00154074399098825,0.000387140327934077,0.00104290699889109,-0.00825667931156548,-0.000816879672293602,0.0180861666469969,0.00679535608859716,-0.0120881347767803,0.00188873322186023,0.00687725958837415
"153",1998-01-01,11839.876,2503.8,2486.841,9.37922843541018,7.82556485682556,7.8187685093109,9.36928428872428,7.81278281857758,7.82235337916316,0.0099441466859016,0.0127820382479804,-0.00358486985225337,0.00233117761993729,-0.00859062232721275,0.00154074399098825,0.000387140327934077,0.00104290699889109,-0.00825667931156548,-0.000816879672293602,0.0180861666469969,0.00868408931045739,-0.00521087518840613
"154",1998-04-01,11949.492,2552.5,2530.365,9.38844404599581,7.84482855003882,7.83611884009053,9.37922843541018,7.82556485682556,7.8187685093109,0.00921561058562759,0.0192636932132588,0.0173503307796254,0.00648165496527842,0.0209352006318788,0.00233117761993729,-0.00859062232721275,0.00154074399098825,0.000387140327934077,0.00104290699889109,-0.00825667931156548,0.00786720963816379,0.0128752914585908
"155",1998-07-01,12099.191,2575.9,2549.426,9.4008938698455,7.85395426659496,7.84362351477489,9.38844404599581,7.84482855003882,7.83611884009053,0.0124498238496944,0.00912571655613625,0.00750467468435989,-0.0101379766571226,-0.00984565609526555,0.00648165496527842,0.0209352006318788,0.00233117761993729,-0.00859062232721275,0.00154074399098825,0.000387140327934077,0.00891011663705488,0.0046186121470253
"156",1998-10-01,12294.737,2628.2,2564.473,9.41692656361223,7.87405448020954,7.8495082784058,9.4008938698455,7.85395426659496,7.84362351477489,0.0160326937667303,0.0201002136145814,0.00588476363090606,0.0109744970584451,-0.00161991105345383,-0.0101379766571226,-0.00984565609526555,0.00648165496527842,0.0209352006318788,0.00233117761993729,-0.00859062232721275,0.0104508606280431,0.00500575247495938
"157",1999-01-01,12410.778,2673.1,2582.887,9.42632056761155,7.89099412658766,7.85666304455855,9.41692656361223,7.87405448020954,7.8495082784058,0.00939400399931678,0.0169396463781233,0.00715476615275801,-0.00316056723645808,0.00127000252185194,0.0109744970584451,-0.00161991105345383,-0.0101379766571226,-0.00984565609526555,0.00648165496527842,0.0209352006318788,0.0127820382479804,-0.00358486985225337
"158",1999-04-01,12514.408,2688.8,2592.218,9.43463589951092,7.8968502764109,7.86026915887382,9.42632056761155,7.89099412658766,7.85666304455855,0.00831533189937339,0.00585614982323435,0.00360611431526081,-0.0110834965548889,-0.0035486518374972,-0.00316056723645808,0.00127000252185194,0.0109744970584451,-0.00161991105345383,-0.0101379766571226,-0.00984565609526555,0.0192636932132588,0.0173503307796254
